tool,tipo,kei,shitaana,pith,kaiten,okuri,Q,K,,
0,6-32 UNC,3.6,2.8,32,210,,1.2,0.4,32,25.4
0,6-40 UNF,3.5,2.9,40,210,,1.1,0.3,40,
0,8-32 UNC,4.2,3.4,32,210,,1.4,0.4,32,
0,8-36 UNF,4.2,3.5,36,210,,1.4,0.4,36,
0,10-24 UNC,5,3.9,24,200,,1.6,0.5,24,
0,10-32 UNF,4.9,4.1,32,200,,1.6,0.4,32,
0,12-24 UNC,5.6,4.5,24,190,,1.8,0.5,24,
0,12-28 UNF,5.5,4.6,28,190,,1.8,0.5,28,
0,12-32 UNEF,5.5,4.7,32,190,,1.8,0.4,32,
0,1/4 - 20 UNC,6.4,5.1,20,180,,2.1,0.6,20,
0,1/4 - 28 UNF,6.4,5.5,28,180,,2.1,0.5,28,
0,1/4 - 32 UNEF,6.4,5.6,32,180,,2.1,0.4,32,
0,5/6 - 18 UNC,8,6.6,18,160,,2.6,0.7,18,
0,5/6 - 24 UNF,8,6.9,24,160,,2.6,0.5,24,
0,5/16 - 32 UNEF,7.9,7.1,32,160,,2.6,0.4,32,
0,3/8 - 16 UNC,9.6,8,16,140,,3.2,0.8,16,
0,3/8 - 24 UNF,9.6,8.5,24,140,,3.2,0.5,24,
0,3/8 - 32 UNEF,9.5,8.7,32,140,,3.1,0.4,32,
0,7/16 - 14 UNC,11.2,9.4,14,130,,3.7,0.9,14,
0,7/16 - 20 UNF,11.2,9.9,20,130,,3.7,0.6,20,
0,7/16 - 24 UNS,11.2,10.1,24,130,,3.7,0.5,24,
0,7/16 - 28 UNEF,11.1,10.2,28,130,,3.7,0.5,28,
0,1/2 - 13 UNC,12.9,10.9,13,120,,4.3,1,13,
0,1/2 - 20 UNF,12.8,11.5,20,120,,4.2,0.6,20,
0,1/2 - 24 UNF,12.8,11.7,24,120,,4.2,0.5,24,
0,1/2 - 28 UNEF,12.7,11.8,28,120,,4.2,0.5,28,
0,1/2 - 32 UN,12.7,11.9,32,120,,4.2,0.4,32,
0,9/16 - 12 UNC,14.3,12.2,12,110,,4.7,1.1,12,
0,9/16 - 18 UNF,14.3,12.9,18,110,,4.7,0.7,18,
0,9/16 - 20 UN,14.3,13,20,110,,4.7,0.6,20,
0,9/16 - 24 UNEF,14.3,13.2,24,110,,4.7,0.5,24,
0,5/8 - 11 UNC,15.9,13.6,11,100,,5.3,1.2,11,
0,5/8 - 18 UNF,15.9,14.5,18,100,,5.3,0.7,18,
0,5/8 - 20 UN,15.9,14.6,20,100,,5.3,0.6,20,
0,5/8 - 4 UNEF,21.2,14.8,4,100,,7,3.2,4,
0,3/4 - 10 UNC,19.1,16.6,10,100,,6.3,1.3,10,
0,3/4 - 16 UNF,19.1,17.5,16,100,,6.3,0.8,16,
0,3/4 - 20 UNEF,19.1,17.8,20,100,,6.3,0.6,20,
0,7/8 - 9 UNC,22.4,19.6,9,90,,7.4,1.4,9,
0,7/8 - 14 UNF,22.3,20.5,14,90,,7.4,0.9,14,
0,7/8 - 20 UNEF,22.3,21,20,90,,7.4,0.6,20,